category,name,address,rating,user_ratings_total,place_id,lat,lng
餐饮,Comida china ke xin,"Vicente Guerrero 2500, Col Del Prado, 64520 Monterrey, N.L., 墨西哥",4.8,9,ChIJXSRpBfWVYoYRDtz5FMGoSwU,25.7020647,-100.3081425
餐饮,Khinkali Dumplings,"Juan Álvarez 425, Centro, 64000 Monterrey, N.L., 墨西哥",4.7,9,ChIJof6Rwhi_YoYRUYyxhgVuvRE,25.6738662,-100.3242147
餐饮,Comida china y sushi,"Av. Arco del Triunfo, 66580 Cdad. Gral. Escobedo, N.L., 墨西哥",3.9,9,ChIJF4aoZ8OTYoYRaS5bzJR05yc,25.8525758,-100.3049685
餐饮,Comida china Miang hui,"Raul salinas lozano, Av. las Torres 100 2, puerta del sol, 66070 Cdad. Gral. Escobedo, N.L., 墨西哥",3.2,9,ChIJn5IrCzWTYoYRFMZHua93Puc,25.8049295,-100.3426435
餐饮,Xiao ling comida china,"Av. Raúl Salinas Lozano 211, Topo Grande, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",4.7,6,ChIJwcfG2YCTYoYRnBDiw0mOoCg,25.7820702,-100.3190672
餐饮,MiniSnack “La China”,"Sobre Las Olas, Residencial Roble 3er Sector, 66414 San Nicolás de los Garza, N.L., 墨西哥",5,5,ChIJjfjppciVYoYROiDqR9-Adw4,25.7621419,-100.2827266
餐饮,Comida china Shenzhen,"Av. Benito Juárez 1302, Sin Nombre de Col 15, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",4,4,ChIJV_z8MwCTYoYR8ZwOwHg6jHc,25.7990283,-100.3135163
餐饮,Comida china Cantonesa Xuan Yue,"Gral. Plutarco Elías Calles 2350, Rincón de La Hacienda 1er Sector, 67168 Guadalupe, N.L., 墨西哥",5,3,ChIJXSfKjCzrYoYRY5zcveny5tI,25.6874394,-100.1887659
餐饮,Kaiyue Comida China,"Av. Cabezada 2000, Mirasol 1o., 64102 Monterrey, N.L., 墨西哥",5,3,ChIJN2WydACRYoYRIEDsobWYOyg,25.7767242,-100.3846091
餐饮,宜宾燃面,"墨西哥 Nuevo León, Cdad. Apodaca, Sta. Rosa - Mezquital, Avenida Concordia邮政编码: 66610",5,3,ChIJxceIRwDtYoYR6almhNV-KGQ,25.7859863,-100.226228
餐饮,火锅店,"Vasconcelos, Av Bosques del Valle 150, 66238 San Pedro Garza García, N.L., 墨西哥",5,1,ChIJkRhsTVu9YoYRu130O3WvTXk,25.6511116,-100.3744335
甜品/茶饮,HICHA 槑茶,"plaza bella Anáhuac, Av. Sendero Divisorio 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Monterrey, N.L., 墨西哥",4,1,ChIJZ8SFI0yVYoYRLui2vrnVxOQ,25.7711618,-100.2736388
餐饮,国素新餐馆,"Av. Dr. José Eleuterio González 114, Vista Hermosa, 64620 Monterrey, N.L., 墨西哥",,,ChIJSxF5RgCXYoYRwDcRQ4nNuNY,25.6899704,-100.3518091
餐饮,火锅店,"Valle de Aragón 1036, Valle de Los Nogales, 66610 Cdad. Apodaca, N.L., 墨西哥",,,ChIJu1_WNwDtYoYRg0yqQirgRTI,25.7918856,-100.2309508
