City,State,Name,Address,Place ID,Map Link,Match Types
San Francisco de Campeche,Campeche,Restaurante Shanghai II,"C. 10 55, Zona Centro, 24000 San Francisco de Campeche, Camp.",ChIJvWsrHvEz-IURMMD80t3kws8,https://www.google.com/maps/place/?q=place_id:ChIJvWsrHvEz-IURMMD80t3kws8,pinyin
San Luis Potosí,San Luis Potosí,Comida china 【长城】GRAN MURALLA,"Av. Venustiano Carranza 565, Reforma, 78000 San Luis Potosí, S.L.P.",ChIJo6McEqCZKoQR4pMxrYNUzWE,https://www.google.com/maps/place/?q=place_id:ChIJo6McEqCZKoQR4pMxrYNUzWE,han
San Luis Potosí,San Luis Potosí,Restaurante Comida China Hong Kong Express,"Juan Sarabia 315, Centro Historico, 78000 San Luis Potosí, S.L.P.",ChIJs7T5ufihKoQRuuwTdkLjCkU,https://www.google.com/maps/place/?q=place_id:ChIJs7T5ufihKoQRuuwTdkLjCkU,pinyin
San Luis Potosí,San Luis Potosí,按摩店私人医院,"Francisco de Urdinola 185, Parque España 3ra Secc, 78200 San Luis Potosí, S.L.P.",ChIJL6D0IimfKoQRdPwoHwib3ZM,https://www.google.com/maps/place/?q=place_id:ChIJL6D0IimfKoQRdPwoHwib3ZM,han
San Nicolás de los Garza,Nuevo León,Lanzhou Ramen Mty 兰州拉面,"Avenida Universidad 1250-3 piso local C307, Villarreal, 66427 San Nicolás de los Garza, N.L.",ChIJv2oNNgCVYoYRnGsEIMubRB8,https://www.google.com/maps/place/?q=place_id:ChIJv2oNNgCVYoYRnGsEIMubRB8,han
San Pedro Garza García,Nuevo León,yihotpot 燚火锅,"Nuevo León, San Pedro Garza García, Zona San Agustín, Av. Real San Agustin, local 14B-1邮政编码: 66260",ChIJAYpbEgC_YoYRvM1wwclGNEI,https://www.google.com/maps/place/?q=place_id:ChIJAYpbEgC_YoYRvM1wwclGNEI,han
Santiago de Querétaro,Querétaro,Comida china 中国快餐,"Av. Constituyentes 6d, San Francisquito, 76040 Santiago de Querétaro, Qro.",ChIJNWZFdQBF04URyOx8HbwSYwc,https://www.google.com/maps/place/?q=place_id:ChIJNWZFdQBF04URyOx8HbwSYwc,han
Santiago de Querétaro,Querétaro,Novedades Hong Kong China,"C. Benito Juárez Sur 52, Centro, 76000 Santiago de Querétaro, Qro.",ChIJi1L6dLdb04UR0ICMQJRDgkY,https://www.google.com/maps/place/?q=place_id:ChIJi1L6dLdb04UR0ICMQJRDgkY,pinyin
Santiago de Querétaro,Querétaro,Pollo Kowloon,"Querétaro, Santiago de Querétaro, La Purísima, Anillo Vial Fray Junípero Serra, JJMX+66 墨西哥克雷塔罗拉普里西马邮政编码: 76146",ChIJXYBNMABb04URtk_jua3XXak,https://www.google.com/maps/place/?q=place_id:ChIJXYBNMABb04URtk_jua3XXak,pinyin
Santiago de Querétaro,Querétaro,XingHe Dumpling de china y té星禾饺子茶馆,"Av Reforma Ote 127A, La Santa Cruz, La Cruz, 76020 Santiago de Querétaro, Qro.",ChIJPd6frUhb04URBbCt6egsdsI,https://www.google.com/maps/place/?q=place_id:ChIJPd6frUhb04URBbCt6egsdsI,han
